corner_label,cap_section,temp_c,vbias_v,device_model,w_um,l_um,wfeed_um,status,srf_hz,c_1ghz_f,c_2ghz_f,c_5ghz_f,c_10ghz_f,c_20ghz_f,q_1ghz,q_2ghz,q_5ghz,q_10ghz,q_20ghz
bcs,cap_bcs,125,0.0,cap_rfcmim,20,20,5,PASS,5.66474e+10,5.43599e-13,5.44186e-13,5.48286e-13,5.62929e-13,6.25535e-13,9.51761e+02,4.71344e+02,1.77326e+02,7.53801e+01,2.71506e+01
bcs,cap_bcs,125,0.0,cap_rfcmim,35,35,10,PASS,2.80479e+10,1.66235e-12,1.66952e-12,1.72078e-12,1.92278e-12,3.32964e-12,3.66391e+02,1.79781e+02,6.37910e+01,2.30974e+01,4.70921e+00
bcs,cap_bcs,125,0.0,cap_rfcmim,50,50,15,PASS,1.69941e+10,3.39693e-12,3.43542e-12,3.72618e-12,5.20371e-12,-6.45301e-12,1.67876e+02,8.15252e+01,2.69500e+01,7.42691e+00,1.51303e+00
bcs,cap_bcs,125,1.5,cap_cmim,20,20,,PASS,none,5.43402e-13,5.43402e-13,5.43402e-13,5.43400e-13,5.43394e-13,5.32522e+03,2.66261e+03,1.06504e+03,5.32523e+02,2.66261e+02
bcs,cap_bcs,125,1.5,cap_cmim,35,35,,PASS,none,1.65997e-12,1.65997e-12,1.65995e-12,1.65991e-12,1.65975e-12,1.74325e+03,8.71625e+02,3.48650e+02,1.74325e+02,8.71624e+01
bcs,cap_bcs,125,1.5,cap_cmim,50,50,,PASS,none,3.38425e-12,3.38424e-12,3.38414e-12,3.38380e-12,3.38241e-12,8.55057e+02,4.27529e+02,1.71012e+02,8.55059e+01,4.27528e+01
bcs,cap_bcs,125,1.5,cap_rfcmim,20,20,5,PASS,5.66474e+10,5.43599e-13,5.44186e-13,5.48286e-13,5.62929e-13,6.25535e-13,9.51761e+02,4.71344e+02,1.77326e+02,7.53801e+01,2.71506e+01
bcs,cap_bcs,125,1.5,cap_rfcmim,35,35,10,PASS,2.80479e+10,1.66235e-12,1.66952e-12,1.72078e-12,1.92278e-12,3.32964e-12,3.66391e+02,1.79781e+02,6.37910e+01,2.30974e+01,4.70921e+00
bcs,cap_bcs,125,1.5,cap_rfcmim,50,50,15,PASS,1.69941e+10,3.39693e-12,3.43542e-12,3.72618e-12,5.20371e-12,-6.45301e-12,1.67876e+02,8.15252e+01,2.69500e+01,7.42691e+00,1.51303e+00
wcs,cap_wcs,-40,0.0,cap_cmim,20,20,,PASS,none,6.63046e-13,6.63046e-13,6.63045e-13,6.63043e-13,6.63032e-13,4.36430e+03,2.18216e+03,8.72861e+02,4.36431e+02,2.18215e+02
wcs,cap_wcs,-40,0.0,cap_cmim,35,35,,PASS,none,2.02638e-12,2.02638e-12,2.02635e-12,2.02628e-12,2.02598e-12,1.42803e+03,7.14017e+02,2.85607e+02,1.42803e+02,7.14016e+01
wcs,cap_wcs,-40,0.0,cap_cmim,50,50,,PASS,none,4.13203e-12,4.13201e-12,4.13183e-12,4.13120e-12,4.12867e-12,7.00316e+02,3.50159e+02,1.40063e+02,7.00317e+01,3.50158e+01
wcs,cap_wcs,-40,0.0,cap_rfcmim,20,20,5,PASS,5.12036e+10,6.63338e-13,6.64212e-13,6.70325e-13,6.92315e-13,7.89182e-13,7.79958e+02,3.86169e+02,1.45039e+02,6.12868e+01,2.15032e+01
wcs,cap_wcs,-40,0.0,cap_rfcmim,35,35,10,PASS,2.52833e+10,2.02993e-12,2.04061e-12,2.11760e-12,2.43068e-12,5.01723e-12,3.00045e+02,1.47085e+02,5.18307e+01,1.82506e+01,2.92419e+00
