device_class,device_key,corner_label,temp_c,domain,v_min,v_max,n_points,c_at_vmin_1ghz_f,c_at_vmax_1ghz_f,cmax_1ghz_f,cmin_1ghz_f,cmax_over_cmin,dcdv_peak_f_per_v,dcdv_min_f_per_v
diode,dplg,ff,-40,core,0.0,1.2,5,1.83596e-13,1.67320e-13,1.835960e-13,1.673200e-13,1.09727,-1.433000e-14,-1.229667e-14
diode,dasm,ff,27,full,0.0,3.3,9,1.54631e-15,1.56895e-15,1.590020e-15,1.546310e-15,1.02827,9.366667e-17,1.333333e-19
diode,dasm,ff,27,core,0.0,1.2,5,1.54631e-15,1.58911e-15,1.590020e-15,1.546310e-15,1.02827,9.366667e-17,-3.033333e-18
diode,dalg,ff,27,full,0.0,3.3,9,1.41938e-13,1.41231e-13,1.465290e-13,1.412310e-13,1.03751,1.018000e-14,-5.766667e-16
diode,dalg,ff,27,core,0.0,1.2,5,1.41938e-13,1.46356e-13,1.465290e-13,1.419380e-13,1.03235,1.018000e-14,-5.766667e-16
diode,dpsm,ff,27,full,0.0,3.3,9,2.08959e-15,1.69000e-15,2.089590e-15,1.690000e-15,1.23644,-1.649000e-16,-7.973333e-17
diode,dpsm,ff,27,core,0.0,1.2,5,2.08959e-15,1.90261e-15,2.089590e-15,1.902610e-15,1.09828,-1.649000e-16,-1.403333e-16
diode,dplg,ff,27,full,0.0,3.3,9,1.85687e-13,1.50815e-13,1.856870e-13,1.508150e-13,1.23122,-1.376667e-14,-7.323333e-15
diode,dplg,ff,27,core,0.0,1.2,5,1.85687e-13,1.70117e-13,1.856870e-13,1.701170e-13,1.09153,-1.376667e-14,-1.240667e-14
diode,dasm,ff,125,full,0.0,3.3,9,1.50975e-15,1.57673e-15,1.587930e-15,1.509750e-15,1.05178,1.218667e-16,-1.400000e-18
diode,dasm,ff,125,core,0.0,1.2,5,1.50975e-15,1.58543e-15,1.585430e-15,1.509750e-15,1.05013,1.218667e-16,1.623333e-17
diode,dalg,ff,125,full,0.0,3.3,9,1.38166e-13,1.41654e-13,1.464930e-13,1.381660e-13,1.06027,1.784000e-14,1.933333e-16
diode,dalg,ff,125,core,0.0,1.2,5,1.38166e-13,1.46493e-13,1.464930e-13,1.381660e-13,1.06027,1.784000e-14,1.933333e-16
diode,dpsm,ff,125,full,0.0,3.3,9,2.11572e-15,1.69143e-15,2.115720e-15,1.691430e-15,1.25085,-1.770667e-16,-8.413333e-17
diode,dpsm,ff,125,core,0.0,1.2,5,2.11572e-15,1.91925e-15,2.115720e-15,1.919250e-15,1.10237,-1.770667e-16,-1.533333e-16
diode,dplg,ff,125,full,0.0,3.3,9,1.86942e-13,1.51160e-13,1.869420e-13,1.511600e-13,1.23672,-1.421333e-14,-7.720000e-15
diode,dplg,ff,125,core,0.0,1.2,5,1.86942e-13,1.71771e-13,1.869420e-13,1.717710e-13,1.08832,-1.421333e-14,-8.976667e-15
