device_class,device_key,corner_label,temp_c,vctrl_v,status,srf_hz,c_1ghz_f,c_5ghz_f,c_10ghz_f,c_20ghz_f,q_1ghz,q_5ghz,q_10ghz,q_20ghz
mos,small,ss,-40,3.0,PASS,none,5.46919e-15,5.46851e-15,5.46632e-15,5.45757e-15,4.32549e+02,8.65106e+01,4.32554e+01,2.16276e+01
mos,mid,ss,-40,3.0,PASS,none,5.22291e-14,5.08016e-14,4.68040e-14,3.55990e-14,2.92082e+01,5.84165e+00,2.92083e+00,1.46041e+00
mos,large,ss,-40,3.0,PASS,none,2.54800e-13,1.19372e-13,4.48606e-14,1.28292e-14,4.48938e+00,8.97878e-01,4.48940e-01,2.24471e-01
mos,xlarge,ss,-40,3.0,PASS,none,1.01920e-12,4.77487e-13,1.79443e-13,5.13166e-14,4.48938e+00,8.97878e-01,4.48940e-01,2.24471e-01
mos,small,ss,-40,3.3,PASS,none,5.47252e-15,5.47185e-15,5.46965e-15,5.46089e-15,4.32281e+02,8.64569e+01,4.32285e+01,2.16142e+01
mos,mid,ss,-40,3.3,PASS,none,5.22686e-14,5.08379e-14,4.68321e-14,3.56087e-14,2.91860e+01,5.83720e+00,2.91861e+00,1.45930e+00
mos,large,ss,-40,3.3,PASS,none,2.55003e-13,1.19360e-13,4.48343e-14,1.28189e-14,4.48542e+00,8.97086e-01,4.48544e-01,2.24273e-01
mos,xlarge,ss,-40,3.3,PASS,none,1.02001e-12,4.77441e-13,1.79337e-13,5.12756e-14,4.48542e+00,8.97086e-01,4.48544e-01,2.24273e-01
mos,small,ss,27,0.0,PASS,none,1.01883e-14,1.01837e-14,1.01693e-14,1.01120e-14,2.29929e+02,4.59860e+01,2.29930e+01,1.14965e+01
mos,mid,ss,27,0.0,PASS,none,1.07881e-13,9.62567e-14,7.20090e-14,3.58679e-14,1.40617e+01,2.81233e+00,1.40617e+00,7.03088e-01
mos,large,ss,27,0.0,PASS,none,4.80593e-13,8.26592e-14,2.30410e-14,5.93081e-15,1.99631e+00,3.99264e-01,1.99633e-01,9.98184e-02
mos,xlarge,ss,27,0.0,PASS,none,1.92237e-12,3.30637e-13,9.21639e-14,2.37232e-14,1.99631e+00,3.99264e-01,1.99633e-01,9.98184e-02
mos,small,ss,27,0.3,PASS,none,8.63501e-15,8.63223e-15,8.62348e-15,8.58866e-15,2.71838e+02,5.43679e+01,2.71840e+01,1.35920e+01
mos,mid,ss,27,0.3,PASS,none,8.96378e-14,8.27530e-14,6.67353e-14,3.76135e-14,1.69551e+01,3.39103e+00,1.69552e+00,8.47762e-01
mos,large,ss,27,0.3,PASS,none,4.20813e-13,9.46772e-14,2.76681e-14,7.22213e-15,2.44278e+00,4.88557e-01,2.44280e-01,1.22142e-01
mos,xlarge,ss,27,0.3,PASS,none,1.68325e-12,3.78709e-13,1.10673e-13,2.88885e-14,2.44278e+00,4.88557e-01,2.44280e-01,1.22142e-01
mos,small,ss,27,0.6,PASS,none,7.35267e-15,7.35097e-15,7.34559e-15,7.32416e-15,3.20059e+02,6.40119e+01,3.20060e+01,1.60030e+01
mos,mid,ss,27,0.6,PASS,none,7.45167e-14,7.04727e-14,6.02540e-14,3.81354e-14,2.04264e+01,4.08529e+00,2.04265e+00,1.02133e+00
mos,large,ss,27,0.6,PASS,none,3.60484e-13,1.05846e-13,3.30006e-14,8.79342e-15,2.99602e+00,5.99205e-01,2.99604e-01,1.49803e-01
mos,xlarge,ss,27,0.6,PASS,none,1.44194e-12,4.23385e-13,1.32002e-13,3.51737e-14,2.99602e+00,5.99205e-01,2.99604e-01,1.49803e-01
mos,small,ss,27,0.9,PASS,none,6.63190e-15,6.63066e-15,6.62673e-15,6.61104e-15,3.55477e+02,7.10955e+01,3.55478e+01,1.77739e+01
mos,mid,ss,27,0.9,PASS,none,6.59974e-14,6.31578e-14,5.56723e-14,3.77675e-14,2.30826e+01,4.61653e+00,2.30827e+00,1.15413e+00
mos,large,ss,27,0.9,PASS,none,3.22322e-13,1.12031e-13,3.68667e-14,1.00081e-14,3.43305e+00,6.86610e-01,3.43306e-01,1.71654e-01
