f_hz,l_em_h,l_fit_h,q_em,q_fit,re_zse_em,re_zse_fit,im_zse_em,im_zse_fit
6850000000,9.32915e-11,9.34202e-11,7.4194,7.30643,0.541182,0.550308,4.01525,4.02079
6900000000,9.32617e-11,9.33858e-11,7.44527,7.33121,0.543065,0.552248,4.04327,4.04865
6950000000,9.32321e-11,9.33516e-11,7.47096,7.35591,0.544946,0.554179,4.07127,4.07649
7000000000,9.32028e-11,9.33176e-11,7.49648,7.38051,0.546826,0.556103,4.09927,4.10432
7050000000,9.31737e-11,9.32839e-11,7.52187,7.40503,0.548702,0.558019,4.12727,4.13215
7100000000,9.31448e-11,9.32504e-11,7.54708,7.42946,0.550577,0.559927,4.15525,4.15996
7150000000,9.31162e-11,9.32172e-11,7.57216,7.45382,0.552448,0.561828,4.18322,4.18776
7200000000,9.30877e-11,9.31842e-11,7.59708,7.4781,0.554317,0.56372,4.21119,4.21555
7250000000,9.30595e-11,9.31515e-11,7.62186,7.5023,0.556183,0.565605,4.23915,4.24334
7300000000,9.30315e-11,9.3119e-11,7.64649,7.52642,0.558047,0.567482,4.2671,4.27111
7350000000,9.30037e-11,9.30867e-11,7.67098,7.55048,0.559908,0.569352,4.29504,4.29888
7400000000,9.29761e-11,9.30547e-11,7.69539,7.57446,0.561762,0.571213,4.32298,4.32663
7450000000,9.29487e-11,9.3023e-11,7.7196,7.59837,0.563618,0.573067,4.3509,4.35438
7500000000,9.29215e-11,9.29914e-11,7.74369,7.62222,0.56547,0.574914,4.37882,4.38212
7550000000,9.28945e-11,9.29602e-11,7.76769,7.646,0.567316,0.576752,4.40673,4.40985
7600000000,9.28677e-11,9.29291e-11,7.79153,7.66972,0.569161,0.578583,4.43464,4.43757
7650000000,9.2841e-11,9.28983e-11,7.81524,7.69338,0.571004,0.580406,4.46253,4.46529
7700000000,9.28146e-11,9.28678e-11,7.83884,7.71697,0.572843,0.582222,4.49042,4.49299
7750000000,9.27883e-11,9.28375e-11,7.8623,7.74051,0.574679,0.58403,4.5183,4.52069
7800000000,9.27623e-11,9.28074e-11,7.88569,7.76399,0.576509,0.585831,4.54617,4.54838
7850000000,9.27364e-11,9.27776e-11,7.90891,7.78741,0.57834,0.587624,4.57404,4.57607
7900000000,9.27107e-11,9.2748e-11,7.93208,7.81077,0.580162,0.58941,4.60189,4.60375
7950000000,9.26851e-11,9.27186e-11,7.95509,7.83408,0.581985,0.591188,4.62974,4.63142
8000000000,9.26598e-11,9.26895e-11,7.97801,7.85734,0.583803,0.592959,4.65759,4.65908
8050000000,9.26346e-11,9.26606e-11,8.00085,7.88055,0.585616,0.594722,4.68542,4.68674
8100000000,9.26096e-11,9.26319e-11,8.02355,7.9037,0.587427,0.596479,4.71325,4.71439
