 frequency       c_cmim_20u      q_cmim_20u      c_cmim_35u      q_cmim_35u      c_cmim_50u      q_cmim_50u      c_rfcmim_20u    q_rfcmim_20u    c_rfcmim_35u    q_rfcmim_35u    c_rfcmim_50u    q_rfcmim_50u    l_ref           q_ref          
 5.54193938e+08  5.43073769e-13  9.61472148e+03  1.65896441e-12  3.14744764e+03  3.38221289e-12  1.54381241e+03  5.43134822e-13  1.72227471e+03  1.65969570e-12  6.64450260e+02  3.38609513e-12  3.05176346e+02  1.00081252e-09  1.73824415e+00 
 5.80444550e+08  5.43073775e-13  9.17989578e+03  1.65896440e-12  3.00510429e+03  3.38221276e-12  1.47399348e+03  5.43140653e-13  1.64422574e+03  1.65976653e-12  6.34279746e+02  3.38647178e-12  2.91289150e+02  1.00093026e-09  1.82036548e+00 
 6.07938580e+08  5.43073781e-13  8.76473497e+03  1.65896439e-12  2.86919843e+03  3.38221262e-12  1.40733211e+03  5.43147047e-13  1.56969906e+03  1.65984423e-12  6.05468034e+02  3.38688503e-12  2.78025995e+02  1.00105946e-09  1.90634473e+00 
 6.36734925e+08  5.43073787e-13  8.36834974e+03  1.65896438e-12  2.73943890e+03  3.38221246e-12  1.34368550e+03  5.43154060e-13  1.49853502e+03  1.65992948e-12  5.77953413e+02  3.38733845e-12  2.65358476e+02  1.00120122e-09  1.99635988e+00 
 6.66895272e+08  5.43073792e-13  7.98989106e+03  1.65896436e-12  2.61554775e+03  3.38221228e-12  1.28291730e+03  5.43161752e-13  1.43058119e+03  1.66002299e-12  5.51676952e+02  3.38783596e-12  2.53259465e+02  1.00135677e-09  2.09059664e+00 
 6.98484230e+08  5.43073796e-13  7.62854823e+03  1.65896434e-12  2.49725958e+03  3.38221209e-12  1.22489736e+03  5.43170189e-13  1.36569200e+03  1.66012558e-12  5.26582373e+02  3.38838184e-12  2.41703052e+02  1.00152747e-09  2.18924870e+00 
 7.31569468e+08  5.43073799e-13  7.28354712e+03  1.65896432e-12  2.38432099e+03  3.38221187e-12  1.16950136e+03  5.43179444e-13  1.30372848e+03  1.66023813e-12  5.02615933e+02  3.38898083e-12  2.30664493e+02  1.00171479e-09  2.29251798e+00 
 7.66221861e+08  5.43073803e-13  6.95414867e+03  1.65896430e-12  2.27649005e+03  3.38221164e-12  1.11661065e+03  5.43189594e-13  1.24455790e+03  1.66036160e-12  4.79726306e+02  3.38963811e-12  2.20120152e+02  1.00192035e-09  2.40061489e+00 
 8.02515641e+08  5.43073805e-13  6.63964730e+03  1.65896427e-12  2.17353577e+03  3.38221138e-12  1.06611192e+03  5.43200728e-13  1.18805352e+03  1.66049706e-12  4.57864476e+02  3.39035936e-12  2.10047456e+02  1.00214595e-09  2.51375859e+00 
 8.40528555e+08  5.43073808e-13  6.33936917e+03  1.65896424e-12  2.07523759e+03  3.38221109e-12  1.01789699e+03  5.43212941e-13  1.13409432e+03  1.66064567e-12  4.36983632e+02  3.39115085e-12  2.00424842e+02  1.00239354e-09  2.63217719e+00 
 8.80342035e+08  5.43073810e-13  6.05267119e+03  1.65896421e-12  1.98138495e+03  3.38221078e-12  9.71862591e+02  5.43226338e-13  1.08256472e+03  1.66080870e-12  4.17039067e+02  3.39201943e-12  1.91231715e+02  1.00266528e-09  2.75610798e+00 
 9.22041367e+08  5.43073811e-13  5.77893904e+03  1.65896417e-12  1.89177679e+03  3.38221044e-12  9.27910094e+02  5.43241033e-13  1.03335438e+03  1.66098757e-12  3.97988080e+02  3.39297266e-12  1.82448403e+02  1.00296355e-09  2.88579760e+00 
 9.65715880e+08  5.43073812e-13  5.51758651e+03  1.65896413e-12  1.80622117e+03  3.38221006e-12  8.85945349e+02  5.43257152e-13  9.86357909e+02  1.66118381e-12  3.79789893e+02  3.39401884e-12  1.74056114e+02  1.00329094e-09  3.02150224e+00 
 1.01145913e+09  5.43073813e-13  5.26805361e+03  1.65896408e-12  1.72453479e+03  3.38220964e-12  8.45878460e+02  5.43274834e-13  9.41474656e+02  1.66139911e-12  3.62405556e+02  3.39516707e-12  1.66036897e+02  1.00365033e-09  3.16348776e+00 
