corner_label,mc_rsh,mc_rsub,temp_c,geometry,w_um,s_um,d_um,nr_r,status,srf_hz,l_1ghz_h,l_5ghz_h,l_10ghz_h,q_1ghz,q_5ghz,q_10ghz,qlow_1ghz,qlow_5ghz,qlow_10ghz
rlo_slo,0.6818,0.75,125,p1,8.22,3.29,47.65,1,PASS,2.40441e+11,1.03757e-10,1.03471e-10,1.02824e-10,2.74397e+00,1.17443e+01,1.73745e+01,1.695348e+00,5.218276e+00,7.772240e+00
rlo_slo,0.6818,0.75,125,p13,6.10,3.29,110.11,5,PASS,1.42611e+10,5.45664e-09,6.20141e-09,1.01419e-08,5.15687e+00,9.62473e+00,3.91816e+00,3.650944e+00,7.296302e+00,3.721747e+00
rlo_slo,0.6818,0.75,125,p11,8.22,3.74,141.975,4,PASS,1.40681e+10,4.61124e-09,5.26322e-09,8.80198e-09,6.70644e+00,1.06058e+01,3.93194e+00,4.614873e+00,8.184516e+00,3.767696e+00
rlo_shi,0.6818,1.25,-40,p1,8.22,3.29,47.65,1,PASS,2.40908e+11,1.03721e-10,1.02818e-10,1.01527e-10,4.96485e+00,1.68389e+01,2.19647e+01,2.679942e+00,7.441035e+00,1.067190e+01
rlo_shi,0.6818,1.25,-40,p13,6.10,3.29,110.11,5,PASS,1.43677e+10,5.45075e-09,6.15538e-09,1.02472e-08,9.25439e+00,1.51729e+01,6.35313e+00,5.915859e+00,1.119989e+01,6.012510e+00
rlo_shi,0.6818,1.25,-40,p11,8.22,3.74,141.975,4,PASS,1.41665e+10,4.60502e-09,5.22286e-09,8.90245e-09,1.19570e+01,1.66719e+01,6.40068e+00,7.398136e+00,1.255412e+01,6.113785e+00
rlo_shi,0.6818,1.25,27,p1,8.22,3.29,47.65,1,PASS,2.40725e+11,1.03744e-10,1.03202e-10,1.02199e-10,3.74141e+00,1.44583e+01,1.97035e+01,2.159338e+00,6.303969e+00,9.195151e+00
rlo_shi,0.6818,1.25,27,p13,6.10,3.29,110.11,5,PASS,1.43505e+10,5.44948e-09,6.16158e-09,1.02754e-08,7.00543e+00,1.37932e+01,6.10003e+00,4.709969e+00,9.953882e+00,5.723808e+00
rlo_shi,0.6818,1.25,27,p11,8.22,3.74,141.975,4,PASS,1.41522e+10,4.60425e-09,5.22760e-09,8.92489e-09,9.08412e+00,1.54033e+01,6.19814e+00,5.921603e+00,1.130526e+01,5.875471e+00
rlo_shi,0.6818,1.25,125,p1,8.22,3.29,47.65,1,PASS,2.40445e+11,1.03757e-10,1.03468e-10,1.02821e-10,2.74397e+00,1.17512e+01,1.74122e+01,1.695344e+00,5.219548e+00,7.779648e+00
rlo_shi,0.6818,1.25,125,p13,6.10,3.29,110.11,5,PASS,1.43311e+10,5.44706e-09,6.16304e-09,1.02939e-08,5.15972e+00,1.20848e+01,5.79798e+00,3.650493e+00,8.612437e+00,5.383925e+00
rlo_shi,0.6818,1.25,125,p11,8.22,3.74,141.975,4,PASS,1.41364e+10,4.60275e-09,5.22908e-09,8.94074e-09,6.70997e+00,1.37638e+01,5.95548e+00,4.613894e+00,9.927445e+00,5.592221e+00
rhi_slo,1.3182,0.75,-40,p1,8.22,3.29,47.65,1,PASS,2.40395e+11,1.03758e-10,1.03501e-10,1.02905e-10,2.61485e+00,1.13315e+01,1.70090e+01,1.631854e+00,5.063505e+00,7.568615e+00
rhi_slo,1.3182,0.75,-40,p13,6.10,3.29,110.11,5,PASS,1.42588e+10,5.45754e-09,6.20506e-09,1.01625e-08,5.61544e+00,9.99442e+00,3.97191e+00,3.848935e+00,7.459309e+00,3.764489e+00
rhi_slo,1.3182,0.75,-40,p11,8.22,3.74,141.975,4,PASS,1.40660e+10,4.61154e-09,5.26479e-09,8.81209e-09,7.00007e+00,1.07901e+01,3.95555e+00,4.718814e+00,8.244554e+00,3.784461e+00
rhi_slo,1.3182,0.75,27,p1,8.22,3.29,47.65,1,PASS,2.40126e+11,1.03764e-10,1.03637e-10,1.03307e-10,1.95495e+00,8.97723e+00,1.46731e+01,1.291761e+00,4.202009e+00,6.420098e+00
rhi_slo,1.3182,0.75,27,p13,6.10,3.29,110.11,5,PASS,1.42434e+10,5.45426e-09,6.19885e-09,1.01469e-08,4.21343e+00,8.87997e+00,3.82022e+00,3.025088e+00,6.574299e+00,3.591619e+00
rhi_slo,1.3182,0.75,27,p11,8.22,3.74,141.975,4,PASS,1.40534e+10,4.60942e-09,5.26073e-09,8.80183e-09,5.26145e+00,9.74091e+00,3.83289e+00,3.719801e+00,7.359028e+00,3.641409e+00
