f_hz,l_se_raw_h,q_se_raw,l_se_h,q_se,re_zse_ohm,im_zse_ohm,l_diff_h,q_diff,re_zdiff_ohm,im_zdiff_ohm
4050000000,6.61405e-09,8.74927,6.61009e-09,8.7455,19.2335,168.206,6.4472e-09,10.1468,16.1687,164.061
4100000000,6.6643e-09,8.70609,6.66034e-09,8.70239,19.7161,171.577,6.49105e-09,10.1225,16.5192,167.216
4150000000,6.71602e-09,8.66103,6.71205e-09,8.65739,20.216,175.018,6.53609e-09,10.0961,16.8807,170.43
4200000000,6.76926e-09,8.61411,6.76529e-09,8.61054,20.7341,178.532,6.58238e-09,10.0677,17.2537,173.705
4250000000,6.82408e-09,8.56538,6.8201e-09,8.56187,21.2712,182.121,6.62995e-09,10.0373,17.6385,177.043
4300000000,6.88055e-09,8.51482,6.87656e-09,8.51138,21.8283,185.789,6.67886e-09,10.005,18.0358,180.447
4350000000,6.93872e-09,8.4625,6.93472e-09,8.45913,22.4064,189.539,6.72915e-09,9.97073,18.446,183.92
4400000000,6.99866e-09,8.4084,6.99466e-09,8.4051,23.0068,193.374,6.78088e-09,9.9346,18.8699,187.464
4450000000,7.06046e-09,8.35256,7.05644e-09,8.34932,23.6306,197.299,6.83411e-09,9.89662,19.3079,191.083
4500000000,7.12417e-09,8.29498,7.12015e-09,8.29181,24.2791,201.317,6.88888e-09,9.85682,19.7608,194.778
4550000000,7.18988e-09,8.23565,7.18585e-09,8.23255,24.9537,205.433,6.94526e-09,9.81517,20.2294,198.555
4600000000,7.25768e-09,8.17459,7.25364e-09,8.17156,25.656,209.65,7.00332e-09,9.77171,20.7143,202.414
4650000000,7.32766e-09,8.1118,7.32361e-09,8.10884,26.3876,213.972,7.06312e-09,9.72643,21.2166,206.362
4700000000,7.39989e-09,8.04727,7.39584e-09,8.04438,27.1502,218.406,7.12473e-09,9.6793,21.7371,210.4
4750000000,7.4745e-09,7.98099,7.47043e-09,7.97817,27.9457,222.956,7.18823e-09,9.63033,22.2769,214.534
4800000000,7.55157e-09,7.91297,7.54749e-09,7.91022,28.7763,227.627,7.25369e-09,9.5795,22.8369,218.766
4850000000,7.63121e-09,7.84319,7.62712e-09,7.84051,29.6441,232.425,7.3212e-09,9.52678,23.4184,223.102
4900000000,7.71356e-09,7.77165,7.70945e-09,7.76904,30.5515,237.356,7.39084e-09,9.47214,24.0227,227.546
4950000000,7.79871e-09,7.69832,7.7946e-09,7.69578,31.5011,242.426,7.46271e-09,9.41555,24.6511,232.104
5000000000,7.88682e-09,7.62319,7.88269e-09,7.62072,32.4959,247.642,7.53691e-09,9.35697,25.3051,236.779
5050000000,7.978e-09,7.54625,7.97387e-09,7.54386,33.5387,253.011,7.61352e-09,9.29637,25.9862,241.578
5100000000,8.07242e-09,7.4675,8.06827e-09,7.46518,34.633,258.542,7.69267e-09,9.23371,26.6963,246.506
5150000000,8.17023e-09,7.38692,8.16607e-09,7.38467,35.7824,264.241,7.77446e-09,9.16893,27.4372,251.569
5200000000,8.27159e-09,7.30448,8.26742e-09,7.3023,36.9908,270.118,7.85902e-09,9.10199,28.2108,256.774
5250000000,8.37669e-09,7.2202,8.37249e-09,7.21809,38.2624,276.181,7.94648e-09,9.03284,29.0195,262.128
5300000000,8.4857e-09,7.13403,8.48149e-09,7.13199,39.602,282.441,8.03697e-09,8.96142,29.8656,267.638
5350000000,8.59883e-09,7.04598,8.59461e-09,7.04401,41.0147,288.908,8.13063e-09,8.88769,30.7517,273.311
5400000000,8.7163e-09,6.95605,8.71206e-09,6.95415,42.506,295.593,8.22762e-09,8.81159,31.6806,279.157
5450000000,8.83833e-09,6.86421,8.83407e-09,6.86238,44.0821,302.508,8.3281e-09,8.73309,32.6554,285.182
5500000000,8.96517e-09,6.77048,8.9609e-09,6.76872,45.7496,309.666,8.43225e-09,8.65211,33.6794,291.398
5550000000,9.09708e-09,6.67485,9.09279e-09,6.67315,47.5159,317.081,8.54024e-09,8.56862,34.7562,297.813
5600000000,9.23435e-09,6.5773,9.23004e-09,6.57567,49.3892,324.767,8.65229e-09,8.48256,35.8899,304.438
5650000000,9.37728e-09,6.47783,9.37295e-09,6.47627,51.3783,332.74,8.76859e-09,8.39388,37.0847,311.285
5700000000,9.52619e-09,6.37647,9.52184e-09,6.37497,53.4931,341.017,8.88937e-09,8.30255,38.3455,318.365
5750000000,9.68144e-09,6.2732,9.67707e-09,6.27177,55.7444,349.616,9.01487e-09,8.20851,39.6774,325.692
5800000000,9.84339e-09,6.16803,9.83901e-09,6.16667,58.1445,358.558,9.14536e-09,8.11173,41.0861,333.279
5850000000,1.00125e-08,6.06099,1.00081e-08,6.05968,60.7066,367.863,9.2811e-09,8.01218,42.5779,341.142
5900000000,1.01891e-08,5.95208,1.01847e-08,5.95084,63.4456,377.554,9.4224e-09,7.90983,44.1597,349.296
5950000000,1.03738e-08,5.84131,1.03693e-08,5.84013,66.3782,387.657,9.56957e-09,7.80464,45.8391,357.758
6000000000,1.0567e-08,5.72871,1.05625e-08,5.72759,69.5228,398.198,9.72296e-09,7.6966,47.6245,366.547
6050000000,1.07694e-08,5.6143,1.07648e-08,5.61324,72.9002,409.207,9.88295e-09,7.58571,49.5251,375.683
6100000000,1.09814e-08,5.4981,1.09769e-08,5.4971,76.534,420.715,1.00499e-08,7.47192,51.5514,385.188
6150000000,1.12038e-08,5.38014,1.11993e-08,5.3792,80.4502,432.757,1.02243e-08,7.35526,53.7146,395.085
6200000000,1.14374e-08,5.26047,1.14328e-08,5.25958,84.6782,445.372,1.04066e-08,7.23572,56.0274,405.399
6250000000,1.16828e-08,5.13909,1.16781e-08,5.13826,89.2518,458.599,1.05974e-08,7.1133,58.5041,416.157
6300000000,1.19409e-08,5.01606,1.19362e-08,5.01528,94.209,472.484,1.0797e-08,6.98802,61.1604,427.39
6350000000,1.22127e-08,4.89141,1.2208e-08,4.89068,99.5927,487.076,1.10063e-08,6.85991,64.0141,439.131
6400000000,1.24991e-08,4.76518,1.24944e-08,4.7645,105.453,502.429,1.12257e-08,6.72897,67.0851,451.414
6450000000,1.28014e-08,4.63743,1.27966e-08,4.63679,111.845,518.602,1.14561e-08,6.59526,70.3957,464.278
6500000000,1.31206e-08,4.50818,1.31158e-08,4.50759,118.835,535.659,1.16983e-08,6.4588,73.9713,477.766
6550000000,1.34582e-08,4.37749,1.34533e-08,4.37695,126.497,553.671,1.1953e-08,6.31964,77.8404,491.924
6600000000,1.38156e-08,4.24542,1.38107e-08,4.24493,134.918,572.716,1.22212e-08,6.17784,82.0355,506.803
6650000000,1.41944e-08,4.112,1.41894e-08,4.11155,144.198,592.879,1.2504e-08,6.03344,86.5938,522.459
6700000000,1.45963e-08,3.9773,1.45913e-08,3.97689,154.456,614.255,1.28026e-08,5.88652,91.5573,538.954
6750000000,1.50233e-08,3.84137,1.50182e-08,3.841,165.828,636.946,1.31181e-08,5.73713,96.9747,556.356
6800000000,1.54775e-08,3.70428,1.54723e-08,3.70395,178.476,661.065,1.34519e-08,5.58536,102.902,574.741
6850000000,1.5961e-08,3.56606,1.59558e-08,3.56576,192.592,686.735,1.38057e-08,5.43126,109.402,594.193
6900000000,1.64764e-08,3.42678,1.64712e-08,3.42651,208.402,714.091,1.41811e-08,5.27494,116.552,614.805
6950000000,1.70264e-08,3.28651,1.7021e-08,3.28628,226.176,743.276,1.458e-08,5.11647,124.437,636.68
7000000000,1.76135e-08,3.14528,1.76081e-08,3.14508,246.241,774.446,1.50045e-08,4.95594,133.16,659.933
7050000000,1.82409e-08,3.00317,1.82354e-08,3.003,268.986,807.764,1.54571e-08,4.79345,142.839,684.694
7100000000,1.89113e-08,2.86023,1.89058e-08,2.86009,294.885,843.398,1.59403e-08,4.62908,153.617,711.106
7150000000,1.96277e-08,2.71653,1.9622e-08,2.71641,324.514,881.516,1.64571e-08,4.46293,165.66,739.332
7200000000,2.03925e-08,2.57211,2.03867e-08,2.57202,358.579,922.274,1.70108e-08,4.2951,179.17,769.551
7250000000,2.12075e-08,2.42704,2.12017e-08,2.42697,397.945,965.801,1.76051e-08,4.12568,194.384,801.967
7300000000,2.20733e-08,2.28137,2.20674e-08,2.28132,443.677,1012.17,1.82441e-08,3.95478,211.594,836.807
7350000000,2.29884e-08,2.13516,2.29825e-08,2.13514,497.094,1061.36,1.89324e-08,3.7825,231.15,874.326
7400000000,2.39478e-08,1.98846,2.39418e-08,1.98845,559.827,1113.19,1.96751e-08,3.60892,253.485,914.806
7450000000,2.4941e-08,1.84133,2.49349e-08,1.84134,633.885,1167.2,2.04779e-08,3.43415,279.126,958.563
7500000000,2.59484e-08,1.69381,2.59424e-08,1.69384,721.737,1222.51,2.13467e-08,3.2583,308.732,1005.94
7550000000,2.69372e-08,1.54597,2.69312e-08,1.546,826.365,1277.56,2.22884e-08,3.08144,343.124,1057.32
